1	Liberals might not be talking about #Parakeelia MSM might not be talking about #Parakeelia Voters are very interested in #Parakeelia #auspol	10000	negative	false
2	.@TurnbullMalcolm to CFA volunteers: "Your selflessness is being trampled on." #ausvotes #springst @abcnews https://t.co/ChVU3Lh1bV	10006	neutral	false
3	Peter Dutton's been  “An Outstanding Immigration Minister” https://t.co/h42MHZERwS #auspol #immigration	10008	neutral	false
4	If we are to respect women, we must respect S99 @TurnbullMalcolm! https://t.co/mr323rrtIX #auspol #ausvotes #Nauru	10008	negative	false
5	#auspol @TurnbullMalcolm @Barnaby_Joyce We need an investigation https://t.co/fhc5t68jmM	10000	negative	false
6	@ABC24 @PM. Chaotic hung Govt? Most chaos was by LNP .. Interrupting Q time,disgusting treatment of P Slipper, and female PM etc.#ausvotes	10006	negative	false
7	Fascist class warfare killings has only just begun Any1 who votes for LNP is accessories to murder https://t.co/7TDvzYNZJ7 #Auspol #Ausvotes	10006	negative	false
8	Why the #LNP will not stand up to the banks, dodgy bosses and big business tax evasion #insiders #ausvotes #auspol https://t.co/wyU3B2u2lG	10002	negative	false
9	?Turnbull couldn't find a real tradie- now construction workers have their say #auspol #ausunions #faketradie https://t.co/5kpsl2zPRF	10001	negative	false
10	While we're asking about #BorderFarce fiasco, when did @TurnbullMalcolm last mention #ABCC alleged reason for double dissolution #ausvotes	10001	negative	false
11	Suddenly the media blackout on arriving refugee boats is lifted.  I smell a rat, in fact a whole nest of rats known as the LNP. #ausvotes	10008	negative	false
12	There has never been a more exciting time for Turnbull to be named in the Mossack Fonseca / Panama papers. #ausvotes	10000	negative	true
13	Minister Hunt lives in parallel universe. The Great Barrier Reef is dying, unquestionably. #ausvotes #auspol https://t.co/jfOVO69WCY	10013	negative	false
14	@TurnbullMalcolm deports a extremist one day &amp; invites a extremist to dinner on tax payer dollars the next! #auspol https://t.co/XKwugYbF3y	10006	negative	false
15	Australia scrubbed from UN climate change report after government intervention | Environment | The Guardian #Auspol https://t.co/J8DXNkRpns	10013	neutral	false
16	Mr Turnbull = No incredibly costly #$$M plebiscite needed thank you. #ausvotes https://t.co/PVZVKr09Lf	10006	negative	false
17	Just how do Labor and the Coalition differ on #NBN policy? https://t.co/yeU9TVuGI9 w/Prof Rod Tucker #auspol https://t.co/OjMpEKLGbx	10015	neutral	false
18	#humanrights #refugees #asylumseekers #stopStateTerrorism by #LNP #Medicare #abc730 #abcnews24 #auspol #ausvotes https://t.co/qPcOs3VkKj	10005	negative	false
19	Keating - still a better politician than @TurnbullMalcolm will ever be. #negativegearing #ausvotes https://t.co/QqvlwYMCLQ	10002	negative	false
20	Labor seeks to thrust renewable energy onto centre stage : Renew Economy #auspol #ausvotes  https://t.co/cen1hRtkUH	10019	positive	false
21	This is what I think of when @TurnbullMalcolm promises not to privatise #Medicare if he's elected #auspol #ausvotes https://t.co/3wkmJtOa24	10005	neutral	false
22	#auspol #ausvotes Labrs campaign implodes as growth increase under @LiberalAus &amp; Labrs unions screw low paid workrs https://t.co/uevMmqnQEg	10001	negative	false
23	As Liberals lie, the only way to ensure marriage equality is with a Labor govt Put Labor 1st for equality https://t.co/0zNW31h2Lx #ausvotes	10006	negative	false
24	@LiberalAus no cuts to health, education, no change to pensions or cuts to the ABC. Trust the Medicare promise? You must be joking #ausvotes	10003	negative	false
